Classes;Genus;Species;UUID;Dataset name;Number events after cleaning;Poleno;Location;Country;Holography only;Holography + fluorescence;Holography only + holography + fluorescence;"Filtered datasets: 
download link ssabox.ch/datasets_meteoswiss.tar";Download link - unflitered data;;;;;;;;;;;;;;;;;;;
Quercus;Quercus;petraea;11ef5a41-dc61-7a4a-a261-ae7b87f820b4;CH_morat_ers_2024_04_23_1 - MMP_OP_model;27439;19;Morat;CH;;y;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";https://data.sylva.bioaerosol.eu/workspace/referencedatasets/poleno/;;;;;;;;;;;;;;;;;;;
Quercus;Quercus;robur;11ef7fe4-ce58-81d5-8dce-ae7b87f820b4;CH_payerne_ers_2024_04_23_1 - MMP_OP_model;6957;19;Payerne;CH;;y;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";https://data.sylva.bioaerosol.eu/workspace/referencedatasets/poleno/;;;;;;;;;;;;;;;;;;;
Raindrops;Raindrops;;11ebe542-f782-c172-bf10-ae7b87f820b4;P5_Payerne_Pluie_28_04;389;5;Payerne;CH;y;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Raindrops;Raindrops;;11ebeabd-e224-d5c4-8b63-ae7b87f820b4;P5_Payerne_Pluie_30_04_AM;2786;5;Payerne;CH;y;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Raindrops;Raindrops;;11ebedec-0da5-47ac-8066-ae7b87f820b4;P5_Payerne_Pluie_30_04_PM;3179;5;Payerne;CH;y;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Raindrops;Raindrops;;11ef442d-89b7-7af0-955b-ae7b87f820b4;rain1_OP_MMP_model;6202;11;Luzern;CH;;y;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Raindrops;Raindrops;;11ef4436-8cba-ff2f-a815-ae7b87f820b4;rain2_OP_MMP_model;408;5;Davos;CH;;y;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Raindrops;Raindrops;;11ef608e-468b-8e7d-a2b4-ae7b87f820b4;raindrop-clean-1;1878;33;Jungfraujoch;CH;;y;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Raindrops;Raindrops;;11ef6161-6963-fcc0-b03a-ae7b87f820b4;raindrop-clean-2;1139;33;Jungfraujoch;CH;;y;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Raindrops;Raindrops;;11ef6151-e8bc-b228-b4ee-ae7b87f820b4;raindrop-clean-3;2186;33;Jungfraujoch;CH;;y;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Raindrops;Raindrops;;11ef616c-c78a-aeb8-9296-ae7b87f820b4;raindrop-clean-4;4245;33;Jungfraujoch;CH;;y;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Raindrops;Raindrops;;11ebee15-1fea-4c68-9cd6-ae7b87f820b4;P16_Locarno_Pluie_29_04;7691;16;Locarno;CH;y;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Taxus;Taxus;;11ea8494-33a5-2e4e-bc84-ae7b87f820b4;taxus_20200220_p5_1_benoit;3411;5;Payerne;CH;y;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Taxus;Taxus;;11ea8477-cede-e7dc-897d-ae7b87f820b4;taxus_20200218_p4_1_benoit;4872;4;Payerne;CH;y;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Taxus;Taxus;;11ea8477-b584-b690-830f-ae7b87f820b4;taxus_20200218_p2_1_benoit;5593;2;Payerne;CH;y;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Taxus;Taxus;baccata;11ef499c-87da-905f-8b4f-ae7b87f820b4;CH_villars-sur-glane_ers_2023_02_28_1 - MMP_OP_model;57530;27;Villars-sur-glane;CH;;y;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";https://data.sylva.bioaerosol.eu/workspace/referencedatasets/poleno/;;;;;;;;;;;;;;;;;;;
Ulmus;Ulmus;;11ea849c-db7b-2170-8b0f-ae7b87f820b4;ulmus_20200311_p2_2_benoit;2392;2;Payerne;CH;y;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Ulmus;Ulmus;;11ea849c-df8f-d95e-897d-ae7b87f820b4;ulmus_20200311_p4_2_benoit;3289;4;Payerne;CH;y;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Ulmus;Ulmus;;11ea849a-0e25-4018-8814-ae7b87f820b4;ulmus_20200304_p5_1_benoit;4844;5;Payerne;CH;y;;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";;;;;;;;;;;;;;;;;;;;
Ulmus;Ulmus;glabra;11ef7f1e-02d0-aeda-b0c4-ae7b87f820b4;FMI_2023_102 - MMP_OP_model;9461;57;Turku;FI;;y;y;"benoit.crouzy@meteoswiss.ch
marie-pierre.meurville@meteoswiss.ch";https://data.sylva.bioaerosol.eu/workspace/referencedatasets/poleno/;;;;;;;;;;;;;;;;;;;
